GENE	Rhtseq	Ihtseq	Rcuff	Icuff	Rmlwl	Imlwl	Rgy	Igy	Ryn	Iyn	Rmyn	Imyn	Rma	Ima
AATF-1	10	3	4.8996	3.90059	0.370733	0.517086	0.824232	0.692062	0.543339	0.643702	0.543327	0.579437	0.813603	0.672799
AATK-1	3	0	0.127391	0.164384	0.991721	0.825815	1.20981	0.783672	1.17548	0.800144	1.12002	0.792605	1.14902	0.775131
ABAT-1	3497	4062	7.83933	15.8117	0.792158	1.2247	0.944292	1.61467	0.94672	1.60939	0.907101	1.55634	0.929282	1.53087
ABCA1-1	3	0	3.4573	1.83195	0.411328	0.628787	0.434393	0.671137	0.412821	0.652743	0.364597	0.632954	0.381884	0.667095
ABCA12-1	1	2	0.00898846	0.0138795	0.878211	NA	2.075	50	1.3143	NA	1.31465	NA	13.6885	50
ABCA13-1	0	0	0.000996794	0.00114621	NA	NA	NA	0.001	NA	NA	NA	NA	NA	NA
ABCA2-1	4	1	2.56222	2.84055	0.577367	0.875499	0.831056	1.4919	0.726707	1.16505	0.699909	1.14114	0.762027	1.15502
ABCA3-1	11	2			0.709649	1.4873	0.763556	1.60515	0.614681	1.34923	0.614457	1.22823	0.725941	1.56453
ABCA4-1	2	6	0.0127968	0.0137332	0	NA	0.001	0.001	-0	NA	-0	NA	0.001	NA
ABCA5-1	8	2	3.3953	2.95895	0.742527	0.52946	0.742034	0.541976	0.778164	0.581163	0.730133	0.577611	0.838264	0.581059
ABCA7-1	0	0	0.0419294	0.0332401	0.108007	0.0793742	0.16283	0.121149	0.146405	0.106503	0.146317	0.106388	0.164695	0.122303
ABCA8-1	96	30	0.906175	0.458067	1.62535	1.17424	2.33259	1.6224	2.33708	1.76595	2.23212	1.87887	2.25659	1.6216
ABCA9-1	6	8	0.759059	0.27594	0.71472	0.730019	0.736268	0.768958	0.737751	0.761189	0.737842	0.852413	0.726258	0.768854
ABCB10-1	0	0	7.4598	6.74281	0.860171	1.39354	1.09812	1.81136	0.861618	0.899298	0.792814	0.898475	0.984884	1.67964
ABCB11-1	713	259	0.545187	0.11646	0.635419	0.179021	0.682044	0.440131	0.717649	0.267704	0.744271	0.267604	0.646114	0.426655
ABCB1LA-1	164	100	0.0317335	0.031575	0.636538	0.685603	0.796193	0.675772	0.562172	0.518235	0.561578	0.517738	0.770259	0.642751
ABCB1LB-1	0	2	0.626804	0.499661	0	0.588911	0.001	1.53208	-0	0.903173	-0	0.903033	0.001	1.14621
ABCB6-1	10	3	3.70506		0.325743	0.324764	0.535892	0.534676	0.454203	0.452649	0.454184	0.452248	0.544651	0.54064
ABCB7-1	3	0	3.50183	3.66731	1.05134	0.484351	1.05667	0.631956	0.890231	0.502804	0.728186	0.41576	0.950115	0.458947
ABCB8-1	83	73			0.798197	0.701096	0.919085	0.824445	0.858223	0.814	0.856877	0.861543	0.868569	0.818459
ABCB9-1	2	6	0.607682	0.55618	0.392519	0.560391	0.429764	0.800695	0.383158	0.719514	0.381359	0.709679	0.416456	0.793787
ABCC1-1	29	30	9.17605	12.8284	0.514885	0.389023	0.452626	0.382416	0.44461	0.355488	0.325009	0.299773	0.437251	0.375098
ABCC10-1	2	0			0.470597	0.771413	0.564523	0.875743	0.513491	0.726774	0.501245	0.726603	0.562393	0.931915
ABCC13-1	2	0	1.01995	0.389821	1.22464	1.64146	1.53421	1.76155	1.36338	1.70335	1.44708	1.72717	1.436	1.70858
ABCC2-1	26	11	0.0311325	0.0234044	NA	0.341721	50	0.368263	NA	0.386903	NA	0.385242	50	0.334302
ABCC3-1	2	2	0.567013	0.51491	0.601892	0.86594	0.833361	1.14202	0.643528	0.994965	0.662257	0.847643	0.772175	1.08086
ABCC4-1	0	0	1.46749	1.54129	0.842386	0.858873	1.00246	0.95391	0.930874	0.961688	1.01097	0.927461	0.987833	0.927728
ABCC5-1	150	76	5.69049	2.48543	1.27921	0.807671	1.35278	0.808479	1.34412	0.827675	1.41905	0.889806	1.36769	0.809562
ABCC6-1	112	127	1.55449	0.742868	0.742031	1.06666	0.87548	1.11272	0.811752	1.02843	0.673574	1.0246	0.762256	1.12791
ABCC8-1	1217	1522	3.00422	2.74736	1.01142	0.880529	1.30674	1.10641	1.40901	1.08448	1.56217	1.1367	1.41108	1.06519
ABCC9-1	31	19	28.1945	36.1673	0.977762	0.992622	1.13251	1.04562	1.10815	1.01415	1.15197	1.05742	1.10286	0.999341
ABCD2-1	5	2	10.3199	8.55374	0.774369	0.734915	0.768623	0.719261	0.730316	0.657147	0.794736	0.76031	0.814032	0.709713
ABCD3-1	8	2	5.60166	5.55215	0.716287	0.573698	0.710697	0.544361	0.768568	0.666594	0.749568	0.631444	0.696899	0.555782
ABCD4-1	6980	4923	2.5491	1.95764	0.770793	NA	1.14236	NA	1.06197	NA	0.955774	NA	1.02233	NA
ABCE1-1	16	7	25.2638	25.7726	0.725487	2.35568	0.729692	2.60636	0.609962	2.81531	0.710958	2.83826	0.699185	2.60284
ABCF2-1	106	30	117.689	195.997	0.254358	0.254427	0.548996	0.548391	0.370357	0.3704	0.370203	0.370246	0.509469	0.508981
ABCF3-1	69	53			0.488997	0.622577	1.93933	0.814589	1.58132	0.909748	1.58191	0.901305	2.22727	0.82452
ABCG1-1	15	3	0.486865	0.087002	0.838488	1.07037	0.930833	50	0.815871	NA	0.712196	NA	0.855537	50
ABCG2-1	6	1	3.27234	3.38473	0.94565	0.459276	1.37256	0.4896	1.04912	0.51242	1.03985	0.501056	1.21086	0.461967
ABCG4-1	0	1	0.0148365	0.00481932	1.51371	0	50	0.001	NA	-0	NA	-0	50	0.001
ABCG5-1	150	116	0	0.0643214	NA	0.665885	50	0.636353	NA	0.461187	NA	0.455177	49.6351	0.531738
ABCG8-1	3	1	0	0	NA	0	40.2936	0.001	NA	-0	NA	-0	47.3605	0.001
ABHD10-1	0	0	3.05072	2.82778	NA	NA	50	NA	NA	NA	NA	NA	50	NA
ABHD11-1	0	0	0.887454	3.39725	0.241351	0.116513	0.225	0.109998	0.193013	0.0956474	0.190223	0.094834	0.230572	0.118275
ABHD12-1	14	4	3.30793	1.96328	0.917738	0.687784	1.10092	0.710362	1.02995	0.617128	1.01786	0.609792	1.1215	0.666851
ABHD12B-1	57	28	0	0	NA	0.301767	50	0.557319	NA	0.422857	NA	0.422486	50	0.531906
ABHD13-1	8	2	7.47505	7.18848	0.749424	0.749401	0.697774	0.696731	0.630232	0.625159	0.625002	0.624851	0.618818	0.610409
ABHD14A-1	0	0	0.562569	0.422347	0.726996	2.04773	1.14708	2.21006	1.03182	2.18106	1.03178	2.03859	1.11824	2.21048
ABHD17B-1	11	9	2.71616	3.31556	0.793935	1.06855	0.787906	1.3083	0.943154	1.07007	1.07825	1.19877	0.806162	1.22649
ABHD17C-1	0	2	4.20185	4.61677	1.33416	1.31481	1.95711	1.49672	1.7768	1.59181	1.75936	1.579	1.7742	1.46712
ABHD2-1	6	0	7.9697	8.87924	1.07376	0.882115	1.32989	1.13333	1.15727	0.953058	1.06799	0.980447	1.30204	1.03723
ABHD3-1	0	0	0.110557	0.0943481	0.471193	0.18503	0.463803	0.170123	0.394163	0.164655	0.327345	0.164637	0.404844	0.149663
ABHD5-1	2	0	7.48276	8.2616	2.41634	0.292733	2.64397	0.717681	1.98628	0.440823	1.98579	0.440806	2.58417	0.744139
ABHD6-1	1	1	0.45548	0.348901	0.141912	0.477049	0.288447	1.65254	0.21069	1.28284	0.210677	1.28238	0.273752	1.71321
ABHD8-1	18	15	0.0451362	0.012605	NA	NA	50	NA	NA	NA	NA	NA	49.843	NA
ABI1-1	171	135	16.1174	9.40333	0.591012	0.93581	0.646642	1.3839	0.623191	1.25221	0.562805	1.34738	0.603051	1.38948
ABI2-1	67	64	8.11389	9.59625	NA	0.495238	NA	0.510433	NA	0.392334	NA	0.473011	NA	0.440658
ABI3-1	893	483			1.00829	0.661065	1.21612	0.767009	1.18754	0.765075	1.00562	0.672039	0.960526	0.69049
ABI3BP-1	48	21	10.0576	9.47822	1.04615	1.3302	1.11313	1.69513	1.15688	1.61667	1.1835	1.45831	1.12133	1.66737
ABL1-1	0	0	4.59752	3.10067	0.712277	0.428441	0.756419	0.977862	0.767004	0.637258	0.729046	0.637221	0.755496	0.989564
ABL2-1	210	129	1.26239	1.83468	0.524472	0.240814	0.526976	0.186411	0.557888	0.179223	0.60015	0.208685	0.540268	0.199226
ABLIM1-1	2	0	1.95652	2.2381	1.25902	1.05231	1.26557	1.15008	1.17999	1.07169	1.18602	1.00816	1.25711	1.06535
ABLIM2-1	15	3	16.7339	11.3686	0.912881	1.01659	1.08953	1.14354	1.08008	1.1947	1.09902	1.09996	1.10317	0.9601
ABLIM3-1	0	0	2.42458	1.03492	0.530352	0.721936	0.556796	0.830975	0.562724	0.804345	0.560712	0.796832	0.523482	0.938221
ABP1-1	0	0	0	0	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan
ABRA-1	29	45	33.8101	50.4725	0.73054	0.221279	0.795061	0.200423	0.728456	0.214201	0.630703	0.21335	0.759985	0.183657
ABTB1-1	30	9	16.7405	15.5785	0.710823	0.884365	0.924483	0.858757	0.730471	0.844026	0.741384	0.795178	0.897056	0.846328
ABTB2-1	322	107	0.258059	0.326199	0.560666	0.414629	0.539626	0.413341	0.616813	0.384887	0.593929	0.427474	0.578366	0.427193
ACAA1-1	3	8	5.82173	6.01102	0.546273	0.487561	0.860306	1.96677	0.624213	1.26969	0.72677	1.27009	0.806922	2.02139
ACAA2-1	5	0	21.3934	20.4681	0.8214	1.80297	0.876954	1.84954	0.551402	1.30775	0.543948	1.3081	0.807452	1.81224
ACACA-1	94	86	2.06133	2.24245	1.93969	0.761484	2.1093	1.04814	1.9881	1.12913	2.11719	1.20947	2.18246	1.02849
ACACB-1	6	0	1.5249	0.982145	0.939469	1.39469	1.3472	1.72311	1.24484	1.6461	1.2663	1.70846	1.36486	1.66439
ACAD10-1	0	2	2.69185	2.59889	1.68868	1.85323	2.02071	2.15661	2.45679	2.16713	2.56882	2.10056	2.04925	2.09275
ACAD11-1	1062	372	2.01881	3.09904	0.631054	0.273645	0.600502	0.198086	0.685845	0.265414	0.682741	0.249546	0.596803	0.187244
ACAD8-1	30	70	14.5292	20.5331	1.41807	1.15295	2.10832	1.7144	2.00768	1.66506	1.77383	1.54517	1.92065	1.64088
ACAD9-1	648	539	48.1851	49.9085	0.95456	0.712935	1.05558	0.879697	1.15399	0.912237	1.35949	0.971765	1.15918	0.898623
ACADL-1	19	14		62.071	0.649119	1.06307	0.773972	1.19203	0.89092	1.16736	0.792224	1.30142	0.7558	1.24855
ACADS-1	13	11	12.2807	16.8383	2.70572	0.551541	2.98758	0.647425	2.85411	0.638861	2.65828	0.579407	2.77805	0.543546
ACADSB-1	9	11	11.7104	16.1282	0.400628	0.955045	0.50044	0.853815	0.519479	0.91644	0.4653	0.895989	0.458916	0.878509
ACAN-1	1	2	0.0103309	0.0106906	0	0.355623	0.001	0.410837	-0	0.426397	-0	0.424318	0.001	0.401096
ACAP2-1	2	0	4.1711	4.08967	1.42728	0.760936	1.47796	0.694431	1.40693	0.798662	1.31602	0.773648	1.30134	0.701867
ACAP3-1	6	15	1.09034	1.84084	1.00767	0.832367	1.30309	1.00443	1.26417	1.02725	1.33848	1.10114	1.33188	1.01865
ACAT1-1	15	16	46.292	65.0806	0.531555	0.669655	0.524006	1.17484	0.53256	1.13965	0.527212	1.19974	0.528581	1.20975
ACAT2-1	0	1	3.74735	4.57178	NA	NA	50	50	NA	NA	NA	NA	50	49.7399
ACBD3-1	24	6	9.52255	7.62717	2.43026	NA	2.60761	50	1.77216	NA	1.77146	NA	2.51504	42.8266
ACBD5-1	45	16	17.5906	22.5816	0.932936	0.270942	1.06341	0.328605	0.955414	0.328723	0.947728	0.325348	1.0369	0.301127
ACBD6-1	2	0	7.14936	6.90848	0.637738	0.572616	0.680409	0.685836	0.5731	0.672482	0.587255	0.658291	0.666312	0.665544
ACBD7-1	0	0	0.186314	0.160845	0.791224	NA	0.826953	50	0.748972	NA	0.746378	NA	0.764469	50
ACCN1-1	1	1	0.00309612	0.022677	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ACCN2-1	20	21	0.0231951	0.0586384	NA	0.478661	50	0.420969	NA	0.387792	NA	0.364132	50	0.403462
ACCS-1	1	2	0.572879	0.780939	0.371281	0.643022	0.386532	0.738298	0.429603	0.835669	0.356564	0.745493	0.419932	0.654674
ACD-1	9	5	1.91897	2.00961	1.11931	1.25312	1.22089	1.36202	1.11221	1.36149	1.06964	1.32684	1.25398	1.37152
ACE-1	6	2	1.11852	3.50656	3.99705	1.01735	17.4163	1.0789	NA	0.75766	NA	0.759159	24.2267	1.09439
ACE2-1	0	0	0.00235418	0.00270624	-nan	NA	-nan	0.001	-nan	NA	-nan	NA	-nan	NA
ACER1-1	0	0	0	0	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan
ACER2-1	2	2	0.407853	0.394572	0.548295	0.352519	0.560945	0.424934	0.448555	0.334832	0.456392	0.332294	0.507067	0.393845
ACER3-1	0	0	0.944994	0.557154	0.81504	0.742362	0.861818	0.784944	0.798124	0.654541	0.747423	0.654496	0.82287	0.785362
ACHE-1	14	18	4.16633	1.408	NA	0.333973	NA	0.485341	NA	0.45417	NA	0.453291	NA	0.485011
ACLY-1	4	2	2.73808	2.3636	0.987046	1.15402	1.16073	1.47482	1.04311	1.16621	1.11397	1.20183	1.17793	1.37511
ACMSD-1	203	121	0.0857993	0.0803228	0.490422	0.340439	0.50604	0.303178	0.509909	0.273581	0.430147	0.215077	0.44031	0.291207
ACN9-1	0	2	15.8718	20.6783	NA	0.296797	50	0.281092	NA	0.198432	NA	0.194752	50	0.275442
ACO1-1	0	2	3.0744	2.61967	1.10201	0.98688	1.16999	1.02706	1.01536	0.966628	0.888358	0.882478	1.06177	0.986457
ACO2-1	71	19	85.27	103.752	0.915106	0.908174	0.952958	0.989067	0.894966	0.979392	1.01981	1.06158	1.05688	0.990937
ACOT11-1	26	75	1.86523	4.1924	2.40293	0.378299	3.4022	1.01098	1.97614	0.790792	1.9767	0.790543	3.22622	1.01771
ACOT12-1	4	2	0.0155673	0.0223635	NA	NA	50	50	NA	NA	NA	NA	46.2315	50
ACOT4-1	4	2	0.00265827	0.00152816	NA	-nan	NA	-nan	NA	-nan	NA	-nan	NA	-nan
ACOT7-1	0	0	0.923597	1.28133	0.297786	NA	1.08404	50	0.86568	NA	0.865574	NA	1.09319	50
ACOT8-1	2	0	7.15539	5.17718	0.515255	0	0.556551	0.001	0.567915	-0	0.556356	-0	0.56231	0.001
ACOT9-1	31	15			0.560824	1.40347	0.66113	1.90275	0.466417	1.69917	0.459404	1.87283	0.653296	1.84752
ACOX1-1	4	0	10.3441	9.83689	0.995173	0.339076	1.05265	0.30801	0.969626	0.257028	1.01684	0.33713	1.09375	0.305361
ACOX2-1	26	19	13.3699	15.389	1.091	0.945944	1.47107	1.18315	1.5518	1.09338	1.34575	1.18134	1.54668	1.17928
ACOX3-1	2	0	3.34619	3.04733	1.27545	1.45639	1.44872	1.65511	1.31141	1.80519	1.33244	2.0115	1.29113	1.57583
ACP1-1	19	0	44.4733	50.7291	0.43706	0.58478	0.310117	0.580367	0.441216	0.626378	0.38081	0.622868	0.354854	0.51631
ACP2-1	189	151	5.66355	6.6451	0.934881	0.774483	1.07835	0.837585	1.0411	0.913737	0.9517	0.948897	1.06776	0.823853
ACP6-1	2	2	3.78806	2.92947	1.3952	0.923339	1.90042	1.17206	1.77753	1.19608	1.94924	1.24159	1.90727	1.15626
ACPL2-1	0	0	0.497616	0.449586	0.31393	0.763501	0.800386	0.854446	0.467359	1.09101	0.467271	1.12921	0.86037	0.762602
ACPP-1	3	1	0.00693006	0.00410559	0.167435	NA	0.489732	0.001	0.259966	NA	0.2569	NA	0.433321	NA
ACR-1	0	0	0.011781	0	NA	-nan	NA	-nan	NA	-nan	NA	-nan	NA	-nan
ACRBP-1	1	0	0.0162204	0	NA	-nan	NA	-nan	NA	-nan	NA	-nan	NA	-nan
ACRC-1	8	6	0.398638	0.398899	1.91917	0.986763	2.22772	1.08817	2.23776	1.06411	1.76879	1.16169	2.21004	1.09724
ACSBG1-1	14535	16465	0	0	0.462469	0.439321	0.460889	0.299227	0.340056	0.397103	0.402324	0.327749	0.440897	0.471634
ACSBG2-1	8	3	16.4046	13.8264	1.37316	6.0037	1.7731	6.739	1.53869	6.37322	1.39943	6.62598	1.65845	8.29232
ACSF2-1	10494	5849	4.22986		0.491276	1.20769	0.682666	1.35857	0.565883	1.15055	0.497026	1.08484	0.587317	1.26454
ACSF3-1	6	3	0.80867	0.717053	0.472807	0.481064	0.550073	0.614255	0.618578	0.579883	0.568308	0.621755	0.533088	0.622982
ACSL1-1	16	4	15.4765	13.6474	0.683783	0.89673	0.72785	1.05957	0.745159	1.13411	0.774021	1.12831	0.733747	0.950274
ACSL3-1	0	2	4.83747	2.70838	1.43929	0.602279	1.48441	0.611327	1.43062	0.612892	1.38493	0.59765	1.46342	0.585662
ACSL4-1	16	12	4.72564	4.56739	0.584162	0.706054	0.611718	0.794372	0.599369	0.553765	0.616709	0.462425	0.613549	0.659966
ACSL5-1	12	2	0.387202	0.274755	4.10521	0.18683	50	0.17258	NA	0.163445	NA	0.163246	50	0.145596
ACSL6-1	231	141	0.665122	0.509724	0.816441	0.956504	1.07815	1.47895	0.971679	0.87207	1.01738	0.871647	1.02077	1.34949
ACSM3-1	0	0	0	0	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan
ACSM4-1	65	31			0.454598	0.889839	0.517992	1.01479	0.506435	1.02668	0.507394	0.958589	0.501554	1.02277
ACSM5-1	4	2			1.86197	1.43555	2.14441	2.41739	2.16177	2.11528	2.34784	2.12866	2.00731	2.23901
ACSS1-1	3	2	0.724856	0.553869	0.700792	1.49175	0.77705	2.05975	0.878613	1.81162	0.784438	1.65395	0.665025	1.85066
ACSS2-1	29	24	12.1044	9.11178	0.688187	0.821175	0.786913	1.09754	0.812304	1.10492	0.762103	1.04888	0.772969	1.05054
ACSS3-1	0	0	1.4767	1.594	0.577103	0.813767	0.572326	0.839028	0.595128	0.813797	0.489711	0.804375	0.556583	0.864553
ACTA1-1	5495	2580			NA	0.488357	0.001	0.629534	NA	0.630419	NA	0.666411	NA	0.58001
ACTA2-1	2	6	10.8817	12.3072	0.568798	0.945714	0.599775	1.08689	0.484263	0.88008	0.452849	1.04783	0.602813	0.97171
ACTB-1	60	27			0.463577	NA	0.754783	50	0.563257	NA	0.560788	NA	0.714051	47.8787
ACTBL2-1	0	0			1.28526	0.652454	1.66321	0.691375	1.38485	0.698646	1.43603	0.565673	1.65227	0.647202
ACTC1-1	44	7	545.219	185.15	1.17567	0.317754	1.27676	0.32364	1.26003	0.353356	1.18242	0.353087	1.26804	0.31442
ACTG1-1	9	2	18.1446	15.0682	NA	NA	0.001	0.001	NA	NA	NA	NA	NA	NA
ACTG2-1	2	4	1.11515	1.46613	0.371576	0.204169	0.413763	0.348457	0.431697	0.287702	0.430828	0.286318	0.38851	0.346356
ACTL6A-1	34	10	5.27683	5.90004	1.38363	0.385799	2.06514	0.333925	1.94622	0.394245	1.62299	0.327973	1.96806	0.427255
ACTL9-1	0	0	0	0	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan
ACTN1-1	109	38	7.58244	4.95581	0.699052	0.766891	0.854502	0.774603	0.798061	0.907671	0.914185	0.885262	0.867772	0.734423
ACTN2-1	1290	629	2023.85	2512.61	1.18462	0.670562	1.24704	0.675356	1.19421	0.775972	1.05135	0.734644	1.26754	0.675105
ACTN4-1	20	9	7.43736	7.46309	1.95188	1.14491	1.86992	1.30757	1.83943	1.27857	1.66646	1.18309	1.82405	1.25528
ACTR10-1	3	1			9.85944	1.60016	50	1.94341	NA	1.85766	NA	1.95253	50	1.99398
ACTR1A-1	26	10	32.833	30.3187	NA	1.72945	50	50	NA	NA	NA	NA	48.7113	50
ACTR2-1	3	3	14.2419	14.0081	0.627476	2.07366	0.612483	2.16307	0.516964	1.90084	0.442667	2.30203	0.61076	3.29255
ACTR3-1	10	7	9.14089	8.38636	1.26764	0.852772	1.36473	1.09268	1.19912	0.663638	0.956404	0.66327	1.1479	1.05529
ACTR3B-1	29	19	72.86	82.7659	2.68704	1.20711	3.14208	1.54732	3.23301	1.40598	2.89939	1.44945	2.64978	1.37328
ACTR5-1	2	0	1.68916	1.82334	0.685771	4.63961	0.675314	4.72301	0.575149	2.91279	0.574507	2.91278	0.635838	5.45931
ACTR6-1	2	6	12.6138	12.8188	0.958867	NA	1.14001	40.7452	0.959764	NA	1.09313	NA	1.20618	26.8934
ACTR8-1	26	15	5.08149	4.87349	1.81881	1.14569	1.96274	1.67264	1.94561	1.40542	1.77437	1.22859	1.90829	1.64431
ACTRT2-1	0	0	0.0105505	0.00909576	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ACVR1-1	4	4	10.5083	11.2445	5.1207	0.757981	13.4423	0.830168	5.16304	0.690558	5.16506	0.687658	12.8442	0.861713
ACVR1B-1	0	0	8.60813	7.61349	1.42108	2.43128	1.84749	2.76667	1.60398	2.47418	1.57079	2.25803	1.78553	2.98568
ACVR1C-1	5	2	0.0862842	0.0112684	1.11152	0.125888	1.46415	0.252144	1.33457	0.185426	1.27245	0.185063	1.41975	0.238725
ACVR2A-1	51	37	6.56078	6.15042	1.17454	3.17783	1.32401	3.24037	1.32203	1.9839	1.30546	1.98381	1.36563	3.16743
ACVR2B-1	2	0	0.241993	0.262921	NA	0.242175	50	0.547923	NA	0.359646	NA	0.359597	50	0.502516
ACVRL1-1	9	1	1.97805	1.71052	1.85705	NA	1.91864	50	1.79633	NA	1.79507	NA	1.93323	50
ACY1-1	10	4	35.5059	46.2204	NA	0.718313	50	0.789991	NA	0.706721	NA	0.703757	50	0.783991
ACYP1-1	0	0	8.48191	10.0724	NA	NA	0.001	0.001	NA	NA	NA	NA	NA	NA
ACYP2-1	92	38	106.719	128.375	0.140011	0.297378	0.12122	0.277986	0.105386	0.319271	0.105375	0.316093	0.107286	0.291746
ADA-1	46	25	2.03058	2.19068	5.91105	0.32718	6.66852	0.348248	6.38907	0.373306	5.17252	0.373222	5.21871	0.32603
ADAD1-1	0	0	0.00289305	0	NA	-nan	NA	-nan	NA	-nan	NA	-nan	NA	-nan
ADAL-1	0	0			0.780212	1.58052	0.800287	1.65952	0.836939	1.4653	0.716338	1.43682	0.786524	1.62312
ADAM10-1	7	7	7.78674	6.77675	0.472253	0.907571	0.602031	0.98447	0.541969	1.04486	0.495699	0.960481	0.559857	0.876675
ADAM11-1	0	0	0.226036	0.200495	NA	1.58733	50	50	NA	NA	NA	NA	50	50
ADAM12-1	8	5	0.405333	0.214874	NA	1.87362	50	2.03696	NA	1.84768	NA	1.66625	50	1.57102
ADAM15-1	36	32	0.193013	0.234364	NA	0.957448	50	0.835664	NA	0.886845	NA	0.875409	49.4628	0.824066
ADAM17-1	98	110	6.6528	7.1452	0.76275	0.618843	0.9103	0.6028	0.834049	0.610851	0.799582	0.727965	0.891613	0.608572
ADAM19-1	0	1	0.642958	0.77072	0.404607	0.51563	0.269821	0.512492	0.36585	0.56278	0.419072	0.654874	0.364592	0.528843
ADAM20-1	0	6	0.00575066	0.0297454	NA	NA	NA	50	NA	NA	NA	NA	NA	50
ADAM22-1	0	0	0.247623	0.262062	2.56408	8.58287	4.20882	20.6113	2.91681	NA	2.91663	NA	4.20558	36.3879
ADAM23-1	2	6	1.86207		0.529282	1.19316	0.523858	1.12008	0.449687	1.03771	0.435645	1.18074	0.488766	1.15073
ADAM28-1	4	1	0.0584534	0.0145178	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ADAM32-1	0	0			-nan	NA	-nan	50	-nan	NA	-nan	NA	-nan	50
ADAM33-1	5	2	3.27786	1.77725	1.04515	1.12844	2.96628	1.86864	2.46721	1.62734	2.54979	1.60433	3.00752	1.87535
ADAM5P-1	30	11	0.216895	0.167022	0.643101	0.0728703	0.612717	0.057113	0.546402	0.0621481	0.502332	0.0621607	0.589541	0.0512591
ADAM8-1	0	0	0.586925	0.00851172	0.81487	NA	1.71988	50	1.20569	NA	1.20544	NA	1.71741	50
ADAM9-1	9	4	9.58304	7.67953	0	0	0.001	0.001	-0	-0	-0	-0	0.001	0.001
