GENE	ROSS-htseq	ILLINOIS-htseq	ROSS-cuff	ILLINOIS-cuff	ROSS-mlwl	ILLINOIS-mlwl	ROSS-gy	ILLINOIS-gy	ROSS-yn	ILLINOIS-yn	ROSS-myn	ILLINOIS-myn	ROSS-ma	ILLINOIS-ma		AVG-ROSS	AVG-ILLINOIS	SD-ROSS	SD-ILLINOIS	0	#VALUE!	#VALUE!	NO	0
DRAM2-1	2425	1802	9.54966	11.9265	2.63656	0.341745	3.63813	0.330684	4.90173	0.330804	5.13567	0.280843	3.30939	0.344853		3.924296	0.3257858	1.065489156	0.025919511	1	1	1	YES	1
EFCAB4B-1	15	2	1.8157	1.24693	0.517324	2.68717	0.565419	3.25499	0.597292	3.05417	0.600369	3.10304	0.565025	3.1976		0.5690858	3.059394	0.033479276	0.222396978	1	1	1	YES	1
EIF2B3-1	7	1	17.8775	14.1808	0.784727	2.24953	0.812775	3.94907	0.7296	3.43953	0.774768	3.27183	0.789769	3.69198		0.7783278	3.320388	0.030600372	0.651270148	1	1	1	YES	1
FDFT1-1	13	6	17.1684	17.8382	0.484523	2.68873	0.589708	4.1474	0.637031	3.10633	0.613252	3.08847	0.558463	3.30872		0.5765954	3.26793	0.059106301	0.540584035	1	1	1	YES	1
FGL2-1	5	4	5.93531	2.87784	2.95452	0.690491	4.32437	0.742071	4.70687	0.874668	4.60995	0.904557	4.32019	0.698013		4.18318	0.78196	0.707936367	0.100783936	1	1	1	YES	1
FIGF-1	1	4	2.2388	2.4052	3.37689	0.811073	3.95832	0.808452	4.36322	0.712832	3.91018	0.680473	4.15016	0.813078		3.951754	0.7651816	0.367732694	0.063616902	1	1	1	YES	1
FNTA-1	18	7	19.7939	17.5651	3.41407	0.514193	3.96034	0.56136	3.7587	0.443347	3.74149	0.52272	3.4763	0.52845		3.67018	0.514014	0.223771937	0.043358082	1	1	1	YES	1
FRMD6-1	5	5	1.16388	1.0151	0.554661	2.64593	0.580235	3.14462	0.559008	3.19243	0.547047	3.14868	0.578459	3.13021		0.563882	3.052374	0.01476575	0.22839386	1	1	1	YES	1
GLRX-1	4	7	13.7271	5.65299	2.96484	0.319435	4.52077	0.333844	2.17905	0.363048	2.17741	0.362761	4.34149	0.307776		3.236712	0.3373728	1.138422526	0.025069724	1	1	1	YES	1
GMEB1-1	104	80	2.81778	2.86368	3.0832	0.444084	3.69187	0.518725	4.01845	0.536997	3.76934	0.511384	3.35319	0.469674		3.58321	0.4961728	0.367016495	0.038151105	1	1	1	YES	1
GNAL-1	32	50	2.87884	1.5284	3.79297	0.967156	3.88765	1.0217	3.77319	0.984934	3.8821	0.890847	3.91965	0.975798		3.851112	0.968087	0.064119165	0.047917948	1	1	1	YES	1
GPAT2-1	24	10	0.121444	0.221287	1.89592	0.347572	5.84771	0.519739	4.43856	0.429353	4.44204	0.427794	6.28637	0.549013		4.58212	0.4546942	1.714795063	0.080572677	1	1	1	YES	1
GPT2-1	29	11	0.793148	0.678077	1.51223	0.916318	7.83868	0.969963	2.29108	1.00192	2.29051	1.00144	5.70213	0.890005		3.926926	0.9559292	2.722029336	0.050740471	1	1	1	YES	1
GULP1-1	4	9	2.56097	2.28653	2.46248	0.535456	4.40505	0.554915	3.91448	0.564058	3.85581	0.508862	4.08503	0.496161		3.74457	0.5318904	0.74785449	0.029088217	1	1	1	YES	1
HSPB8-1	170	78	395.466	213.881	0.883411	0.723469	7.26496	0.749057	1.86662	0.800166	1.86487	0.806797	5.2529	0.716146		3.4265522	0.759127	2.711490718	0.042358271	1	1	1	YES	1
HSPH1-1	5	1	5.01382	5.66765	0.683916	3.50941	0.683187	3.58646	0.582036	3.25724	0.652049	3.59368	0.682016	4.09962		0.6566408	3.609282	0.043816375	0.306228512	1	1	1	YES	1
IGF2BP2-1	18	4	3.0743	1.84806	0.525109	3.67781	0.624778	4.17591	0.662767	4.06441	0.633716	4.0285	0.603988	3.68912		0.6100716	3.92715	0.051980272	0.229031867	1	1	1	YES	1
JOSD1-1	14	10	3.34619	3.58054	2.5944	0.52317	3.33577	0.585102	3.27756	0.615111	2.96474	0.541429	2.95431	0.526715		3.025356	0.5583054	0.29766114	0.040193894	1	1	1	YES	1
KCNK17-1	1	2	0.132118	0.145429	0.325561	1.33791	0.720839	6.7876	0.473539	1.95568	0.47265	1.95656	0.729166	6.03021		0.544351	3.613592	0.175591169	2.578154629	1	1	1	YES	1
KIF14-1	21	10	0.212794	0.187597	0.427507	3.44738	0.502336	4.48317	0.474095	4.42058	0.546805	4.00163	0.474452	3.69149		0.485039	4.00885	0.043749319	0.450144175	1	1	1	YES	1
LAMP1-1	20	13	108.022	93.7573	2.39827	0.780866	3.58439	0.877084	3.21837	1.23635	2.78114	0.933723	3.36509	0.789731		3.069452	0.9235508	0.476536627	0.185992384	1	1	1	YES	1
LARP6-1	61	39	2.00807	1.40021	0.518603	2.05098	0.54943	4.24944	0.400637	2.98326	0.40026	2.98131	0.547868	4.37509		0.4833596	3.328016	0.076676758	0.976635659	1	1	1	YES	1
LASS4-1	31	41	0.498419	0.587618	0.178836	3.70423	0.212176	4.10678	0.208333	4.10043	0.211221	3.89273	0.209928	3.94818		0.2040988	3.95047	0.014195809	0.166503834	1	1	1	YES	1
LGMN-1	22	6	36.5804	20.418	0.959522	3.28356	0.968114	4.03908	0.85796	3.75643	0.792139	3.53592	0.950308	3.67257		0.9056086	3.657512	0.077390819	0.278491636	1	1	1	YES	1
LOC100858624-1	29	11	1.44206	1.25068	0.728676	3.69691	0.726917	4.09912	0.704984	4.65201	0.610817	4.51117	0.730736	4.02938		0.700426	4.197718	0.051159261	0.385195171	1	1	1	YES	1
LOC101747601-1	42	59	0.0258763	0.0172242	0.920979	3.54203	0.912611	3.88583	0.945662	4.4104	0.91885	4.17443	0.896175	3.88596		0.9188554	3.97973	0.017864046	0.32885257	1	1	1	YES	1
LOC101748166-1	116	58	0.448819	0.251525	0.752927	1.5536	0.779241	3.63534	0.679029	3.2219	0.679761	3.54861	0.736461	3.60673		0.7254838	3.113236	0.044755133	0.887405171	1	1	1	YES	1
LOC101748502-1	637	886	1.27847	2.25069	3.01899	0.568229	3.05571	0.738797	3.03606	0.702449	3.06508	0.701403	3.15363	0.704764		3.065894	0.6831284	0.052182456	0.06609881	1	1	1	YES	1
LOC101749172-1	327	1399	0.0821286	0.864452	1.9984	0.699909	4.03149	0.856259	3.48715	0.66899	3.93485	0.600692	3.8606	0.710955		3.462498	0.707361	0.844029648	0.093661188	1	1	1	YES	1
LOC101750104-1	37	21	0.3689	0.218929	0.651147	4.04782	0.684011	4.37612	0.682645	4.04695	0.684819	3.87846	0.680623	4.34231		0.676649	4.138332	0.014344377	0.2134401	1	1	1	YES	1
LOC101750186-1	30	21	0.0428941	0.0449055	0.522262	3.14344	0.575029	3.19522	0.618118	3.19182	0.629562	2.84566	0.533948	2.89446		0.5757838	3.05412	0.048217389	0.170143652	1	1	1	YES	1
LOC101750725-1	2772	2672	0.778825	0.857775	0.955529	3.01554	1.02388	3.43694	0.896448	3.398	0.946491	3.30151	1.11949	3.42183		0.9883676	3.314764	0.08621985	0.175377454	1	1	1	YES	1
LOC101751325-1	35	11	4.26505	2.89334	0.704143	2.52249	0.716544	3.15106	0.626769	3.35556	0.618628	3.73466	0.673918	2.92351		0.6680004	3.137456	0.044259035	0.455072278	1	1	1	YES	1
LOC416541-1	16	6	0.329471	0.139994	3.21297	0.745422	5.86142	0.723898	5.51191	0.718347	6.21156	0.829364	6.51002	0.794762		5.461576	0.7623586	1.311520921	0.048069718	1	1	1	YES	1
LOC420516-1	29	10	0.388279	0.224553	2.15939	0.235071	3.53442	0.219667	3.15597	0.241094	3.40301	0.304167	3.53415	0.204826		3.157388	0.240965	0.578885766	0.038042347	1	1	1	YES	1
LOC428277-1	1684	1082	1.15126	0.821913	0.755127	2.90182	0.798009	3.01614	0.702967	3.25912	0.701524	3.36691	0.797993	2.96905		0.751124	3.102608	0.047932732	0.199988643	1	1	1	YES	1
LOC776275-1	1	2	1.81818	1.02516	0.893444	3.57377	0.921471	3.82045	0.808866	3.86842	0.716266	4.41044	0.849223	4.01239		0.837854	3.937094	0.080366739	0.308241867	1	1	1	YES	1
LOC777366-1	17	4	25.5333	40.1995	1.20251	0.364127	3.77679	0.804766	3.23536	0.643327	3.23573	0.643249	3.64286	0.783481		3.01865	0.64779	1.043655335	0.175754622	1	1	1	YES	1
LOC777528-1	6	4	0.299405	0.522154	0.714719	3.02893	0.838343	3.62668	0.791539	3.73876	0.765357	3.91332	0.819783	3.6464		0.7859482	3.590818	0.048525412	0.333911643	1	1	1	YES	1
LOH12CR1-1	9	3	2.31487	2.53414	3.49963	0.50584	3.68163	0.605101	2.33427	0.698743	2.33412	0.833331	3.61907	0.640378		3.093744	0.6566786	0.696446369	0.121092656	1	1	1	YES	1
LPIN2-1	6	9	0.631825	0.52027	2.21344	0.301251	3.71638	0.270808	3.28393	0.200933	2.65241	0.200935	3.15694	0.238963		3.00462	0.242578	0.582630979	0.043934518	1	1	1	YES	1
LRCH2-1	12	4	2.18147	2.05575	0.935636	3.33767	1.08306	5.10352	1.00369	5.91235	0.925799	5.82955	1.04309	4.73618		0.998255	4.983854	0.06782812	1.044376689	1	1	1	YES	1
LRRC57-1	93	97	5.16589	5.74004	2.26631	0.778258	4.61155	0.907699	3.8444	0.787612	3.30255	0.64187	4.4975	0.876701		3.704462	0.798428	0.961914105	0.103803945	1	1	1	YES	1
LRRN2-1	321	265	0.138133	0.114534	0.89451	2.83639	1.06004	6.74655	0.96636	4.37501	0.899637	4.377	1.04374	6.95089		0.9728574	5.057168	0.077728545	1.753569041	1	1	1	YES	1
LYVE1-1	22	19	0.836295	0.571073	0.874618	2.94443	1.00561	3.23739	1.15083	3.29154	0.935208	3.153	0.863476	2.89374		0.9659484	3.10402	0.11783575	0.176802852	1	1	1	YES	1
MAST3-1	7	4	0.465216	0.321963	0.790033	1.71258	0.899355	10.5803	0.835551	2.42107	0.805119	2.42102	0.897971	6.13439		0.8456058	4.653872	0.051136354	3.739542547	1	1	1	YES	1
MEGF10-1	7	7	1.25156	1.6572	0.474042	1.56688	0.566653	3.85218	0.481561	3.77609	0.46984	3.31186	0.54226	3.73817		0.5068712	3.249036	0.044485681	0.963641056	1	1	1	YES	1
MINA-1	904	680	5.98378	5.47777	2.41119	0.725645	3.24293	0.853582	3.3773	0.95242	3.2251	0.836576	2.93439	0.796971		3.038182	0.8330388	0.385925138	0.082946851	1	1	1	YES	1
MPP3-1	86	11	0.385963	0.250773	4.02957	0.517008	4.45909	0.519571	5.1126	0.53221	5.24259	0.56314	3.89823	0.485987		4.548416	0.5235832	0.612393515	0.027892505	1	1	1	YES	1
MRPS36-1	15	15	52.1826	54.3062	3.74274	0.703921	4.10783	0.929122	4.72475	1.1356	4.82609	1.12006	4.00825	0.882967		4.281932	0.954334	0.471205122	0.179414349	1	1	1	YES	1
MTHFR-1	8	6	5.79421	6.35147	6.00713	0.573874	6.40178	0.580866	5.93219	0.505759	6.73297	0.504336	8.88225	0.569847		6.791264	0.5469364	1.212455432	0.038445156	1	1	1	YES	1
MTMR10-1	226	203	15.3967	15.8263	2.85492	0.533292	5.6715	0.522047	1.71198	0.55086	1.71126	0.600765	4.47308	0.495792		3.284548	0.5405512	1.749495186	0.039148629	1	1	1	YES	1
MYO16-1	8	6	0.603415	0.248438	0.370198	3.4831	0.344383	3.68013	0.350507	4.08935	0.395949	3.28126	0.345741	3.5384		0.3613556	3.614448	0.021934382	0.301618912	1	1	1	YES	1
NACAD-1	10	7	0.304663	0.0571597	2.98077	0.294573	3.9759	0.544646	3.26436	0.440487	3.49362	0.439551	3.94932	0.554912		3.532794	0.4548338	0.432480851	0.105124683	1	1	1	YES	1
NAPG-1	5	2	9.41538	10.5439	0.79841	3.17171	1.03093	3.46875	0.941351	3.42065	0.890991	3.18923	1.00097	3.42186		0.9325304	3.33444	0.092409505	0.142021648	1	1	1	YES	1
NASP-1	21	11	6.7331	6.91972	4.7508	0.520955	5.52324	0.540405	5.52755	0.528591	6.33916	0.56916	5.93801	0.587239		5.615752	0.54927	0.589840949	0.028041066	1	1	1	YES	1
NFX1-1	33	18	2.3608	2.37798	0.659385	3.6842	0.634833	6.23687	0.627008	5.87335	0.668914	4.95717	0.629914	5.38212		0.6440108	5.226742	0.018898296	0.989281013	1	1	1	YES	1
NLK-1	2	6	5.42291	5.93271	0.689758	4.70432	0.758212	5.61496	0.823792	4.99631	0.683179	4.71338	0.598264	5.45237		0.710641	5.096268	0.084977938	0.420139287	1	1	1	YES	1
NOC2L-1	32	6	10.0203	19.0475	3.07249	0.697901	3.4683	0.748786	3.39997	0.645566	2.93437	0.566083	3.32773	0.56172		3.240572	0.6440112	0.227417845	0.081744927	1	1	1	YES	1
NRP2-1	113	129	7.43455	4.65129	0.881161	5.19171	1.10167	5.50737	0.787801	5.0477	0.787665	5.18017	1.073	5.58904		0.9262594	5.303198	0.15224543	0.232506207	1	1	1	YES	1
NSUN2-1	45	23	6.61558	6.56678	0.925427	4.07398	0.856227	3.89365	0.914774	5.37272	0.995116	5.18852	0.850388	4.55753		0.9083864	4.61728	0.059028858	0.655627574	1	1	1	YES	1
NSUN6-1	149	167	0.292236	0.276356	2.96826	0.937015	3.2538	0.880735	3.32664	0.950341	3.11126	0.915284	2.97084	0.80057		3.12616	0.896789	0.16260606	0.059882885	1	1	1	YES	1
OAT-1	8	4	44.1526	40.2925	1.77788	0.556085	4.3726	1.36248	2.65118	0.82935	2.65128	0.829455	4.29793	1.27765		3.150174	0.971004	1.139380338	0.338948735	1	1	1	YES	1
OLFML2B-1	28	12	5.48332	11.6097	3.828	0.633908	3.93437	0.635134	3.89924	0.602817	3.87404	0.569753	3.82767	0.626241		3.872664	0.6135706	0.046192912	0.027725219	1	1	1	YES	1
ORC3-1	62	49	3.06961	2.38658	6.30402	0.701158	12.7681	0.691242	9.04752	0.840492	8.84094	0.900587	12.3847	0.698696		9.869056	0.766435	2.700664105	0.097448505	1	1	1	YES	1
PAN2-1	214	151	1.66394	1.45862	5.72095	0.744773	9.20193	0.784782	8.92544	0.707535	9.07318	0.67258	9.22246	0.764338		8.428792	0.7348016	1.518383572	0.044957933	1	1	1	YES	1
PBX3-1	11	2	3.614	4.00157	2.34118	0.665968	4.1755	0.718009	4.31102	0.766787	4.1488	0.785604	4.03452	0.703774		3.802204	0.7280284	0.822638175	0.048366663	1	1	1	YES	1
PCIF1-1	2	8	8.31287	8.00631	3.73699	0.508181	4.07659	0.59219	4.06314	0.726084	4.04489	0.740121	3.96814	0.626146		3.97795	0.6385444	0.141090491	0.096537627	1	1	1	YES	1
PDIA6-1	31	13	25.1799	24.8456	4.1633	0.143084	4.65867	0.139366	4.57056	0.117997	5.36916	0.117965	4.78045	0.124455		4.708428	0.1285734	0.436005139	0.011920542	1	1	1	YES	1
PGM2-1	195	161	1.86444	1.36633	2.94206	0.456956	5.14649	0.407866	3.50708	0.392162	3.32111	0.382937	4.60492	0.412444		3.904332	0.410473	0.929745193	0.028569541	1	1	1	YES	1
PGPEP1L-1	60	206	1.8065	11.3682	0.381192	0.77068	1.32752	6.27121	0.807568	1.92294	0.807497	1.92282	1.35768	7.14316		0.9362914	3.606162	0.409854006	2.886159665	1	1	1	YES	1
PID1-1	4	1	1.28898	1.02688	2.45921	0.227927	2.86576	0.544839	3.15856	0.337525	3.57982	0.337514	3.01944	0.49486		3.016558	0.388533	0.409516112	0.129166596	1	1	1	YES	1
PIK3CA-1	85	50	4.34248	4.52307	0.886499	2.05475	1.20927	5.48037	0.763912	2.76525	0.921075	2.76418	1.18245	6.77045		0.9926412	3.967	0.19471797	2.043116476	1	1	1	YES	1
PIK3R4-1	4	3	3.51399	3.11423	0.49304	2.58597	0.523892	4.26211	0.55159	4.31959	0.621183	4.32845	0.495775	3.92279		0.537096	3.883782	0.052686339	0.74441721	1	1	1	YES	1
PLCB2-1	7	3	0.825856	0.397807	0.596048	3.10542	0.790031	3.65655	0.647099	3.55221	0.656342	3.48887	0.800684	3.70082		0.6980408	3.500774	0.091834377	0.236313731	1	1	1	YES	1
PLXNB1-1	5	13	1.16338	1.88699	1.9347	0.491084	5.6512	0.585189	3.02775	0.641249	2.61815	0.57675	4.71315	0.568966		3.58899	0.5726476	1.541966426	0.053727189	1	1	1	YES	1
PMPCA-1	51	46	17.2213	21.5126	0.96802	3.70916	1.07717	4.50933	0.944448	4.45154	0.926104	3.80129	1.05441	3.97904		0.9940304	4.090072	0.067651386	0.369882916	1	1	1	YES	1
PNO1-1	15	11	37.7093	39.3636	0.191259	3.75453	0.390873	3.97652	0.28175	4.11505	0.281754	3.8063	0.36882	3.78719		0.3028912	3.887918	0.079754128	0.153329096	1	1	1	YES	1
POPDC2-1	322	171	13.3197	16.3763	0.656692	3.81172	0.715333	5.13677	0.560952	4.65539	0.504013	4.41924	0.673571	5.06803		0.6221122	4.61823	0.086922206	0.539128936	1	1	1	YES	1
POR-1	40	45	5.561	5.54536	0.405186	3.03824	0.429631	4.12503	0.330598	3.95601	0.330366	3.94896	0.418998	4.19416		0.3829558	3.85248	0.048679622	0.467451162	1	1	1	YES	1
PPAP2A-1	312	230	79.3816	100.023	2.87476	0.717541	7.16469	1.05979	6.1132	0.797758	6.6798	0.90175	7.443	0.996197		6.05509	0.8946072	1.848353632	0.139990242	1	1	1	YES	1
PPEF2-1	163	68	0.119674	0.0181648	3.43493	0.939194	5.97073	0.88011	5.17359	0.901627	6.2102	1.07917	5.79926	0.994808		5.317742	0.9589818	1.120323058	0.080047815	1	1	1	YES	1
PRDM16-1	231	144	0.315597	0.47912	1.63765	0.399057	3.63137	0.441041	3.5912	0.468361	3.65721	0.474731	3.51752	0.42366		3.20699	0.44137	0.878872953	0.031407056	1	1	1	YES	1
PRPSAP1-1	110	101	7.01043	7.36221	0.806616	11.0372	0.937248	11.9646	0.936357	11.3395	0.873488	10.6284	0.872627	12.2645		0.8852672	11.44684	0.054306323	0.668171784	1	1	1	YES	1
PTAFR-1	76	35	0.54336	0.270448	0.746505	3.04688	0.774627	3.39681	0.677946	2.97704	0.690219	3.43436	0.782661	3.58376		0.7343916	3.28777	0.048043941	0.262473596	1	1	1	YES	1
RAB35-1	6	6	6.84523	7.47079	3.71049	0.489496	6.1104	0.657564	5.45868	0.529978	6.12674	0.451841	6.1755	0.624118		5.516362	0.5505994	1.051713631	0.087690506	1	1	1	YES	1
RBM12B-1	4	2	3.93458	4.68547	3.07236	0.549562	3.42436	0.552438	3.93069	0.593876	3.68147	0.666743	3.25603	0.534106		3.472982	0.579345	0.340181612	0.053635672	1	1	1	YES	1
RCSD1-1	111	86	17.014	15.9274	3.92506	0.817345	4.21473	0.901569	4.06712	0.815912	3.97625	0.7639	4.38491	0.937759		4.113614	0.847297	0.187356036	0.07065059	1	1	1	YES	1
RDH10-1	37	23	2.42677	1.65545	7.41868	0.823565	9.68245	0.805607	7.81295	0.719252	7.77234	0.730086	9.90175	0.805704		8.517634	0.7768428	1.176043791	0.048337901	1	1	1	YES	1
REPS1-1	1	16	13.821	9.09305	0.883167	3.45947	1.04514	3.80922	1.02927	3.6991	0.987296	4.4496	1.00087	3.98112		0.9891486	3.879702	0.063477725	0.370556699	1	1	1	YES	1
RNF121-1	8	3	5.44384	8.40585	0.685984	1.71574	0.798043	3.61618	0.763523	3.04466	0.879653	3.23898	1.02939	3.92892		0.8313186	3.108896	0.130761375	0.850251164	1	1	1	YES	1
RPL23-1	104	37	993.779	1022.04	0.48828	3.72511	0.468202	3.71829	0.436613	3.60549	0.400629	3.57987	0.46248	3.70333		0.4512408	3.666418	0.033769184	0.068375303	1	1	1	YES	1
