GENE	ROSS-htseq	ILLINOIS-htseq	ROSS-cuff	ILLINOIS-cuff		ROSS-mlwl	ILLINOIS-mlwl	ROSS-gy	ILLINOIS-gy	ROSS-yn	ILLINOIS-yn	ROSS-myn	ILLINOIS-myn	ROSS-ma	ILLINOIS-ma		AVG-ROSS	AVG-ILLINOIS		Positive selection
FCHO2-1	4	0	2.97329	2.87747		2.74388	0.184065	3.21696	0.163378	3.19587	0.161358	3.17929	0.157271	3.20234	0.134362		3.107668	0.1600868		ross
FOXP1-1	6	0	1.45418	1.05908		2.05937	0.456079	2.17714	0.447319	2.101	0.435167	2.00118	0.345242	2.15446	0.429135		2.09863	0.4225884		ross
GATAD2B-1	34	14	12.2534	9.20771		1.62817	0.367447	3.4466	0.419504	2.05567	0.415133	2.05533	0.431318	2.97407	0.405566		2.431968	0.4077936		ross
GLG1-1	9	1	6.8901	7.05551		1.94225	0.39419	2.20423	0.420264	2.11478	0.304234	2.14161	0.302606	2.16262	0.407684		2.113098	0.3657956		ross
GLRA1-1	27	66	0.0310476	0.0397005		2.47244	0.423993	2.50226	0.407862	2.40758	0.342639	2.52353	0.339843	2.52824	0.375265		2.48681	0.3779204		ross
GLRX-1	4	7	13.7271	5.65299		2.96484	0.319435	4.52077	0.333844	2.17905	0.363048	2.17741	0.362761	4.34149	0.307776		3.236712	0.3373728		ross
GMEB1-1	104	80	2.81778	2.86368		3.0832	0.444084	3.69187	0.518725	4.01845	0.536997	3.76934	0.511384	3.35319	0.469674		3.58321	0.4961728		ross
GPAT2-1	24	10	0.121444	0.221287		1.89592	0.347572	5.84771	0.519739	4.43856	0.429353	4.44204	0.427794	6.28637	0.549013		4.58212	0.4546942		ross
GRK6-1	2	1	0.737525	0.590349		0.819339	0.325494	3.12004	0.28232	2.02745	0.376892	2.0273	0.395661	3.15314	0.329839		2.2294538	0.3420412		ross
HARS2-1	7	4		1.48272		2.49487	0.320453	2.68577	0.332028	2.39031	0.257532	2.62318	0.257698	3.23268	0.330654		2.685362	0.299673		ross
HNF1A-1	233	167	0	0		3.10223	0.342178	3.4493	0.34497	3.46281	0.364974	3.49235	0.302505	3.40293	0.317824		3.381924	0.3344902		ross
HSCB-1	87	87	14.0385	12.8807		2.04033	0.266466	2.24558	0.304178	2.34199	0.236174	2.21295	0.235609	2.13779	0.293461		2.195728	0.2671776		ross
KAL1-1	0	0	1.57871	0.821198		2.08386	0.528749	2.11972	0.531127	2.29956	0.427048	2.23136	0.490718	2.08023	0.485043		2.162946	0.492537		ross
KLHL2-1	4	6	6.79507	6.16639		1.77674	0.54522	2.23491	0.516808	2.25206	0.436318	2.49794	0.479056	1.65428	0.502607		2.083186	0.4960018		ross
LCMT2-1	3	2	3.45714	3.47753		2.38496	0.233382	2.4634	0.534757	2.25455	0.34228	1.95075	0.342235	2.1998	0.534604		2.250692	0.3974516		ross
LHFP-1	2	3	3.49069	3.4851		2.41129	0.302685	2.55423	0.288813	2.5524	0.225861	2.31444	0.225854	2.42727	0.26146		2.451926	0.2609346		ross
LOC100858529-1	46	50				3.17823	0.346378	3.97447	0.37772	4.08259	0.438126	3.61686	0.471497	3.6989	0.347146		3.71021	0.3961734		ross
LOC101747914-1	3	1				2.79139	0.251229	3.49316	0.288959	3.42139	0.321274	3.68188	0.369946	3.4005	0.298382		3.357664	0.305958		ross
LOC101748827-1	0	0	0.0165851	0.0133473		2.7806	0.0821564	2.74593	0.559383	2.13107	0.372389	2.09155	0.370421	2.84352	0.61016		2.518534	0.39890188		ross
LOC101748959-1	10	0	0.0220157	0.0106951		3.06585	0.302001	3.54161	0.284008	3.02167	0.286813	3.07183	0.329625	3.47706	0.262955		3.235604	0.2930804		ross
LOC101750741-1	0	1	1.01521	0.453312		1.85266	0.336076	2.17142	0.363148	2.11255	0.370234	2.12929	0.369719	2.09919	0.354445		2.073022	0.3587244		ross
LOC101751895-1	3	0	0	0.723689		2.38889	0.369378	2.78248	0.582403	2.82095	0.394037	2.74955	0.473964	2.46688	0.522199		2.64175	0.4683962		ross
LOC101752077-1	0	0	0.259556	0.0862681		2.02796	0.14873	2.38709	0.305659	2.44537	0.22326	2.31004	0.22235	2.1976	0.308034		2.273612	0.2416066		ross
LOC101752244-1	0	0	0.0761458	0.0537574		1.99375	0.332181	2.41963	0.340059	2.78874	0.385921	2.80444	0.385492	2.2313	0.319883		2.447572	0.3527072		ross
LOC419511-1	0	0	4.26693	5.26233		2.51913	0.244092	2.75186	0.593494	2.58126	0.370606	2.20745	0.369399	3.24007	0.645969		2.659954	0.444712		ross
LOC420516-1	29	10	0.388279	0.224553		2.15939	0.235071	3.53442	0.219667	3.15597	0.241094	3.40301	0.304167	3.53415	0.204826		3.157388	0.240965		ross
LOC422301-1	82	299				2.16451	0.437883	3.29529	0.480615	3.60723	0.538007	3.95729	0.514929	3.276	0.470542		3.260064	0.4883952		ross
LOC768772-1	2	1	12.7213	10.9985		2.38019	0.263146	2.63238	0.591601	2.32849	0.388753	2.09129	0.387547	2.44588	0.62786		2.375646	0.4517814		ross
LOC770870-1	40	31				3.79294	0.40779	5.46539	0.445802	5.67085	0.40231	5.34836	0.394619	5.55238	0.415762		5.165984	0.4132566		ross
LPIN2-1	6	9	0.631825	0.52027		2.21344	0.301251	3.71638	0.270808	3.28393	0.200933	2.65241	0.200935	3.15694	0.238963		3.00462	0.242578		ross
LY6E-1	0	0	26.8532	13.8823		2.50575	0.19565	2.78397	0.198476	2.54854	0.185241	2.22606	0.185153	3.22076	0.178878		2.657016	0.1886796		ross
MAEA-1	10	1	19.771	19.2908		2.66532	0.497432	2.73438	0.474167	2.46253	0.453192	2.42415	0.563594	2.65905	0.473769		2.589086	0.4924308		ross
MCOLN3-1	0	0	0.298674	0.0647673		2.64225	0.364649	2.66294	0.340447	2.46722	0.291907	2.47502	0.259116	2.6942	0.327483		2.588326	0.3167204		ross
NTRK3-1	93	83	0.598782	0.913698		2.45765	0.466018	2.75531	0.477206	2.65928	0.449247	2.95916	0.387389	2.96168	0.461098		2.758616	0.4481916		ross
NUP133-1	42	21	2.36636	2.26104		2.13592	0.331634	2.18257	0.317594	2.05156	0.313782	2.47212	0.316165	2.20629	0.256968		2.209692	0.3072286		ross
NUP205-1	3	0	4.28425	3.62843		2.39798	0.302598	2.46483	0.268254	2.53709	0.203879	2.91634	0.203881	2.59846	0.239207		2.58294	0.2435638		ross
